,Id,State,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Prescriptions Dispensed by US Retailers in that year (millions)
0,US01,Alabama,2005,83,4569805.0,1.85,1.4,2.3,163.0
1,US02,Alaska,2005,19,666946.0,3.05,1.7,4.4,163.0
2,US04,Arizona,2005,393,5839077.0,6.75,6.1,7.4,163.0
3,US05,Arkansas,2005,127,2781097.0,4.6,3.8,5.4,163.0
4,US06,California,2005,1485,35827943.0,4.15,3.9,4.4,163.0
5,US08,Colorado,2005,310,4631888.0,6.65,5.9,7.4,163.0
6,US09,Connecticut,2005,175,3506956.0,5.0,4.3,5.7,163.0
7,US10,Delaware,2005,33,845150.0,4.1,2.7,5.5,163.0
8,US11,District of Columbia,2005,45,567136.0,8.2,5.8,10.6,163.0
9,US12,Florida,2005,1151,17842038.0,6.45,6.1,6.8,163.0
10,US13,Georgia,2005,312,8925922.0,3.5,3.1,3.9,163.0
11,US15,Hawaii,2005,75,1292729.0,5.95,4.6,7.3,163.0
12,US16,Idaho,2005,52,1428241.0,3.75,2.7,4.8,163.0
13,US17,Illinois,2005,647,12609903.0,5.1,4.7,5.5,163.0
14,US18,Indiana,2005,169,6278616.0,2.7,2.3,3.1,163.0
15,US19,Iowa,2005,74,2964454.0,2.55,2.0,3.1,163.0
16,US20,Kansas,2005,112,2745299.0,4.05,3.3,4.8,163.0
17,US21,Kentucky,2005,294,4182742.0,7.0,6.2,7.8,163.0
18,US22,Louisiana,2005,185,4576628.0,4.05,3.5,4.6,163.0
19,US23,Maine,2005,124,1318787.0,9.4,7.7,11.1,163.0
20,US24,Maryland,2005,507,5592379.0,9.1,8.3,9.9,163.0
21,US25,Massachusetts,2005,579,6403290.0,9.05,8.3,9.8,163.0
22,US26,Michigan,2005,527,10051137.0,5.25,4.8,5.7,163.0
23,US27,Minnesota,2005,162,5119598.0,3.2,2.7,3.7,163.0
24,US28,Mississippi,2005,44,2905943.0,1.55,1.1,2.0,163.0
25,US29,Missouri,2005,306,5790300.0,5.3,4.7,5.9,163.0
26,US30,Montana,2005,47,940102.0,5.15,3.7,6.6,163.0
27,US31,Nebraska,2005,43,1761497.0,2.55,1.8,3.3,163.0
28,US32,Nevada,2005,365,2432143.0,15.0,13.5,16.5,163.0
29,US33,New Hampshire,2005,111,1298492.0,8.55,7.0,10.1,163.0
30,US34,New Jersey,2005,454,8651974.0,5.25,4.8,5.7,163.0
31,US35,New Mexico,2005,219,1932274.0,11.3,9.8,12.8,163.0
32,US36,New York,2005,580,19132610.0,3.05,2.8,3.3,163.0
33,US37,North Carolina,2005,659,8705407.0,7.55,7.0,8.1,163.0
34,US38,North Dakota,2005,360,646089.0,6.7166874222,5.7866749689,7.6466998755,163.0
35,US39,Ohio,2005,591,11463320.0,5.15,4.7,5.6,163.0
36,US40,Oklahoma,2005,319,3548597.0,9.0,8.0,10.0,163.0
37,US41,Oregon,2005,318,3613202.0,8.8,7.8,9.8,163.0
38,US42,Pennsylvania,2005,524,12449990.0,4.2,3.8,4.6,163.0
39,US44,Rhode Island,2005,122,1067916.0,11.45,9.4,13.5,163.0
40,US45,South Carolina,2005,154,4270150.0,3.6,3.0,4.2,163.0
41,US46,South Dakota,2005,22,775493.0,3.05,1.8,4.3,163.0
42,US47,Tennessee,2005,466,5991057.0,7.8,7.1,8.5,163.0
43,US48,Texas,2005,908,22778123.0,3.95,3.7,4.2,163.0
44,US49,Utah,2005,345,2457719.0,14.05,12.6,15.5,163.0
45,US50,Vermont,2005,46,621215.0,7.65,5.4,9.9,163.0
46,US51,Virginia,2005,385,7577105.0,5.1,4.6,5.6,163.0
47,US53,Washington,2005,629,6257305.0,10.05,9.3,10.8,163.0
48,US54,West Virginia,2005,154,1820492.0,8.45,7.1,9.8,163.0
49,US55,Wisconsin,2005,281,5546166.0,5.1,4.5,5.7,163.0
50,US56,Wyoming,2005,10,514157.0,2.25,0.9,3.6,163.0
