,Id,State,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Prescriptions Dispensed by US Retailers in that year (millions)
0,US01,Alabama,2003,54,4503491.0,1.25,0.9,1.6,149.0
1,US02,Alaska,2003,14,648414.0,2.4,1.2,3.6,149.0
2,US04,Arizona,2003,350,5510364.0,6.35,5.7,7.0,149.0
3,US05,Arkansas,2003,98,2724816.0,3.65,2.9,4.4,149.0
4,US06,California,2003,1530,35253159.0,4.35,4.1,4.6,149.0
5,US08,Colorado,2003,229,4528732.0,5.05,4.4,5.7,149.0
6,US09,Connecticut,2003,168,3484336.0,4.85,4.1,5.6,149.0
7,US10,Delaware,2003,46,818003.0,5.8,4.1,7.5,149.0
8,US11,District of Columbia,2003,60,568502.0,10.85,8.1,13.6,149.0
9,US12,Florida,2003,1080,17004085.0,6.35,6.0,6.7,149.0
10,US13,Georgia,2003,248,8622793.0,2.85,2.5,3.2,149.0
11,US15,Hawaii,2003,47,1251154.0,3.9,2.8,5.0,149.0
12,US16,Idaho,2003,55,1363380.0,4.15,3.0,5.3,149.0
13,US17,Illinois,2003,504,12556006.0,4.05,3.7,4.4,149.0
14,US18,Indiana,2003,140,6196638.0,2.25,1.9,2.6,149.0
15,US19,Iowa,2003,43,2941999.0,1.55,1.1,2.0,149.0
16,US20,Kansas,2003,78,2723004.0,2.95,2.3,3.6,149.0
17,US21,Kentucky,2003,242,4117170.0,5.85,5.1,6.6,149.0
18,US22,Louisiana,2003,131,4521042.0,2.9,2.4,3.4,149.0
19,US23,Maine,2003,92,1306513.0,7.15,5.7,8.6,149.0
20,US24,Maryland,2003,568,5496269.0,10.35,9.5,11.2,149.0
21,US25,Massachusetts,2003,595,6422565.0,9.25,8.5,10.0,149.0
22,US26,Michigan,2003,278,10041152.0,2.75,2.4,3.1,149.0
23,US27,Minnesota,2003,122,5053572.0,2.4,2.0,2.8,149.0
24,US28,Mississippi,2003,31,2868312.0,1.1,0.7,1.5,149.0
25,US29,Missouri,2003,277,5709403.0,4.85,4.3,5.4,149.0
26,US30,Montana,2003,46,919630.0,5.2,3.7,6.7,149.0
27,US31,Nebraska,2003,14,1738643.0,0.9,0.4,1.4,149.0
28,US32,Nevada,2003,287,2248850.0,12.75,11.3,14.2,149.0
29,US33,New Hampshire,2003,99,1279840.0,7.85,6.3,9.4,149.0
30,US34,New Jersey,2003,466,8601402.0,5.4,4.9,5.9,149.0
31,US35,New Mexico,2003,228,1877574.0,12.15,10.6,13.7,149.0
32,US36,New York,2003,614,19175939.0,3.2,2.9,3.5,149.0
33,US37,North Carolina,2003,506,8422501.0,6.0,5.5,6.5,149.0
34,US38,North Dakota,2003,10,638817.0,1.85,0.8,2.9,149.0
35,US39,Ohio,2003,398,11434788.0,3.45,3.1,3.8,149.0
36,US40,Oklahoma,2003,262,3504892.0,7.5,6.6,8.4,149.0
37,US41,Oregon,2003,264,3547376.0,7.4,6.5,8.3,149.0
38,US42,Pennsylvania,2003,481,12374658.0,3.85,3.5,4.2,149.0
39,US44,Rhode Island,2003,108,1071342.0,10.1,8.2,12.0,149.0
40,US45,South Carolina,2003,95,4150297.0,2.35,1.9,2.8,149.0
41,US46,South Dakota,2003,10,763729.0,1.5,0.6,2.4,149.0
42,US47,Tennessee,2003,312,5847812.0,5.3,4.7,5.9,149.0
43,US48,Texas,2003,825,22030931.0,3.75,3.5,4.0,149.0
44,US49,Utah,2003,272,2360137.0,11.55,10.2,12.9,149.0
45,US50,Vermont,2003,50,617858.0,8.35,6.0,10.7,149.0
46,US51,Virginia,2003,374,7366977.0,5.1,4.6,5.6,149.0
47,US53,Washington,2003,492,6104115.0,8.05,7.3,8.8,149.0
48,US54,West Virginia,2003,203,1812295.0,11.2,9.7,12.7,149.0
49,US55,Wisconsin,2003,203,5479203.0,3.7,3.2,4.2,149.0
50,US56,Wyoming,2003,360,503453.0,6.7166874222,5.7866749689,7.6466998755,149.0
