,Id,State,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Prescriptions Dispensed by US Retailers in that year (millions)
0,US01,Alabama,1999,39,4430141.0,0.9,0.6,1.2,116.0
1,US02,Alaska,1999,28,624779.0,4.75,3.0,6.5,116.0
2,US04,Arizona,1999,250,5023823.0,5.0,4.4,5.6,116.0
3,US05,Arkansas,1999,29,2651860.0,1.15,0.7,1.6,116.0
4,US06,California,1999,1598,33499204.0,4.75,4.5,5.0,116.0
5,US08,Colorado,1999,169,4226018.0,4.0,3.4,4.6,116.0
6,US09,Connecticut,1999,158,3386401.0,4.65,3.9,5.4,116.0
7,US10,Delaware,1999,32,774990.0,4.3,2.8,5.8,116.0
8,US11,District of Columbia,1999,28,570213.0,5.2,3.3,7.1,116.0
9,US12,Florida,1999,417,15759421.0,2.65,2.4,2.9,116.0
10,US13,Georgia,1999,85,8045965.0,1.05,0.8,1.3,116.0
11,US15,Hawaii,1999,34,1210300.0,2.9,1.9,3.9,116.0
12,US16,Idaho,1999,32,1275674.0,2.6,1.7,3.5,116.0
13,US17,Illinois,1999,544,12359020.0,4.4,4.0,4.8,116.0
14,US18,Indiana,1999,49,6044969.0,0.85,0.6,1.1,116.0
15,US19,Iowa,1999,15,2917634.0,0.55,0.3,0.8,116.0
16,US20,Kansas,1999,26,2678338.0,1.0,0.6,1.4,116.0
17,US21,Kentucky,1999,56,4018053.0,1.45,1.1,1.8,116.0
18,US22,Louisiana,1999,30,4460811.0,0.75,0.5,1.0,116.0
19,US23,Maine,1999,32,1266808.0,2.65,1.7,3.6,116.0
20,US24,Maryland,1999,503,5254509.0,9.55,8.7,10.4,116.0
21,US25,Massachusetts,1999,346,6317345.0,5.5,4.9,6.1,116.0
22,US26,Michigan,1999,140,9897116.0,1.4,1.2,1.6,116.0
23,US27,Minnesota,1999,67,4873481.0,1.4,1.1,1.7,116.0
24,US28,Mississippi,1999,16,2828408.0,0.6,0.3,0.9,116.0
25,US29,Missouri,1999,106,5561948.0,1.9,1.5,2.3,116.0
26,US30,Montana,1999,16,897507.0,1.95,1.0,2.9,116.0
27,US31,Nebraska,1999,360,1704764.0,6.7166874222,5.7866749689,7.6466998755,116.0
28,US32,Nevada,1999,166,1934718.0,8.6,7.3,9.9,116.0
29,US33,New Hampshire,1999,41,1222014.0,3.5,2.4,4.6,116.0
30,US34,New Jersey,1999,344,8359592.0,4.1,3.7,4.5,116.0
31,US35,New Mexico,1999,187,1808082.0,10.35,8.9,11.8,116.0
32,US36,New York,1999,664,18882725.0,3.5,3.2,3.8,116.0
33,US37,North Carolina,1999,161,7949361.0,2.0,1.7,2.3,116.0
34,US38,North Dakota,1999,360,644259.0,6.7166874222,5.7866749689,7.6466998755,116.0
35,US39,Ohio,1999,180,11335454.0,1.6,1.4,1.8,116.0
36,US40,Oklahoma,1999,91,3437147.0,2.7,2.1,3.3,116.0
37,US41,Oregon,1999,201,3393941.0,5.9,5.1,6.7,116.0
38,US42,Pennsylvania,1999,328,12263805.0,2.7,2.4,3.0,116.0
39,US44,Rhode Island,1999,36,1040402.0,3.6,2.4,4.8,116.0
40,US45,South Carolina,1999,50,3974682.0,1.3,0.9,1.7,116.0
41,US46,South Dakota,1999,360,750412.0,6.7166874222,5.7866749689,7.6466998755,116.0
42,US47,Tennessee,1999,91,5638706.0,1.65,1.3,2.0,116.0
43,US48,Texas,1999,379,20558220.0,1.85,1.7,2.0,116.0
44,US49,Utah,1999,145,2203482.0,6.6,5.5,7.7,116.0
45,US50,Vermont,1999,17,604683.0,3.05,1.6,4.5,116.0
46,US51,Virginia,1999,210,7000174.0,3.0,2.6,3.4,116.0
47,US53,Washington,1999,372,5842564.0,6.35,5.7,7.0,116.0
48,US54,West Virginia,1999,34,1811799.0,1.95,1.3,2.6,116.0
49,US55,Wisconsin,1999,85,5332666.0,1.65,1.3,2.0,116.0
50,US56,Wyoming,1999,360,491780.0,6.7166874222,5.7866749689,7.6466998755,116.0
