,Id,State,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Prescriptions Dispensed by US Retailers in that year (millions)
0,US01,Alabama,2007,172,4672840.0,3.65,3.1,4.2,184.0
1,US02,Alaska,2007,16,680300.0,2.55,1.3,3.8,184.0
2,US04,Arizona,2007,490,6167681.0,7.9,7.2,8.6,184.0
3,US05,Arkansas,2007,156,2848650.0,5.45,4.6,6.3,184.0
4,US06,California,2007,1762,36250311.0,4.85,4.6,5.1,184.0
5,US08,Colorado,2007,368,4803868.0,7.65,6.9,8.4,184.0
6,US09,Connecticut,2007,249,3527270.0,7.05,6.2,7.9,184.0
7,US10,Delaware,2007,52,871749.0,6.15,4.5,7.8,184.0
8,US11,District of Columbia,2007,29,574404.0,5.35,3.4,7.3,184.0
9,US12,Florida,2007,1519,18367842.0,8.3,7.9,8.7,184.0
10,US13,Georgia,2007,404,9349988.0,4.3,3.9,4.7,184.0
11,US15,Hawaii,2007,82,1315675.0,6.35,5.0,7.7,184.0
12,US16,Idaho,2007,64,1505105.0,4.35,3.3,5.4,184.0
13,US17,Illinois,2007,739,12695866.0,5.8,5.4,6.2,184.0
14,US18,Indiana,2007,251,6379599.0,3.9,3.4,4.4,184.0
15,US19,Iowa,2007,112,2999212.0,3.7,3.0,4.4,184.0
16,US20,Kansas,2007,128,2783785.0,4.6,3.8,5.4,184.0
17,US21,Kentucky,2007,356,4256672.0,8.35,7.5,9.2,184.0
18,US22,Louisiana,2007,228,4375581.0,5.2,4.5,5.9,184.0
19,US23,Maine,2007,108,1327040.0,8.15,6.6,9.7,184.0
20,US24,Maryland,2007,620,5653408.0,10.95,10.1,11.8,184.0
21,US25,Massachusetts,2007,660,6431559.0,10.25,9.5,11.0,184.0
22,US26,Michigan,2007,523,10001284.0,5.25,4.8,5.7,184.0
23,US27,Minnesota,2007,185,5207203.0,3.55,3.0,4.1,184.0
24,US28,Mississippi,2007,98,2928350.0,3.4,2.7,4.1,184.0
25,US29,Missouri,2007,406,5887612.0,6.9,6.2,7.6,184.0
26,US30,Montana,2007,62,964706.0,6.55,4.9,8.2,184.0
27,US31,Nebraska,2007,41,1783440.0,2.35,1.6,3.1,184.0
28,US32,Nevada,2007,414,2601072.0,15.9,14.4,17.4,184.0
29,US33,New Hampshire,2007,148,1312540.0,11.3,9.5,13.1,184.0
30,US34,New Jersey,2007,348,8677885.0,4.0,3.6,4.4,184.0
31,US35,New Mexico,2007,272,1990070.0,13.65,12.0,15.3,184.0
32,US36,New York,2007,1064,19132335.0,5.55,5.2,5.9,184.0
33,US37,North Carolina,2007,758,9118037.0,8.3,7.7,8.9,184.0
34,US38,North Dakota,2007,17,652822.0,2.85,1.5,4.2,184.0
35,US39,Ohio,2007,755,11500468.0,6.55,6.1,7.0,184.0
36,US40,Oklahoma,2007,500,3634349.0,13.8,12.6,15.0,184.0
37,US41,Oregon,2007,362,3722417.0,9.7,8.7,10.7,184.0
38,US42,Pennsylvania,2007,501,12563937.0,3.95,3.6,4.3,184.0
39,US44,Rhode Island,2007,89,1057315.0,8.6,6.8,10.4,184.0
40,US45,South Carolina,2007,206,4444110.0,4.65,4.0,5.3,184.0
41,US46,South Dakota,2007,21,791623.0,2.85,1.6,4.1,184.0
42,US47,Tennessee,2007,494,6175727.0,8.0,7.3,8.7,184.0
43,US48,Texas,2007,1064,23831983.0,4.45,4.2,4.7,184.0
44,US49,Utah,2007,382,2597746.0,14.7,13.2,16.2,184.0
45,US50,Vermont,2007,54,623481.0,8.9,6.5,11.3,184.0
46,US51,Virginia,2007,520,7751000.0,6.7,6.1,7.3,184.0
47,US53,Washington,2007,675,6461587.0,10.45,9.7,11.2,184.0
48,US54,West Virginia,2007,347,1834052.0,18.9,16.9,20.9,184.0
49,US55,Wisconsin,2007,390,5610775.0,6.95,6.3,7.6,184.0
50,US56,Wyoming,2007,25,534876.0,4.95,3.0,6.9,184.0
